asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance_meter,speed_filled,meter_filled,avrg_speed_5,avrg_speed_10,avrg_speed_30,avrg_speed_all,distance_speed,distance_cum,delay,fuel
487,2017-10-01 14:37:42,79.0,41592.0,1852.0,nan,3181374.0,3229620.0,nan,0.0,nan,nan,nan,nan,nan,nan,43.888888888888886,nan,2.0,5.0
487,2017-10-01 14:37:43,80.0,41754.0,nan,nan,3181379.0,nan,nan,nan,nan,3229620.0,69.3,nan,nan,nan,22.22222222222222,nan,1.0,5.0
487,2017-10-01 14:37:45,79.0,41748.0,nan,nan,3181389.0,3229703.0,nan,0.0,nan,nan,nan,nan,nan,nan,43.888888888888886,nan,2.0,10.0
487,2017-10-01 14:37:46,80.0,41743.0,nan,nan,3181394.0,nan,nan,nan,nan,3229703.0,nan,nan,nan,nan,22.22222222222222,nan,1.0,5.0
487,2017-10-01 14:37:47,79.0,41795.0,1855.0,nan,3181399.0,nan,nan,nan,nan,3229703.0,nan,nan,nan,nan,21.944444444444443,nan,1.0,5.0
487,2017-10-01 14:37:49,80.0,42109.0,nan,nan,3181409.0,3229787.0,nan,0.0,nan,nan,nan,nan,nan,nan,44.44444444444444,nan,2.0,10.0
487,2017-10-01 14:37:51,79.0,42321.0,nan,nan,3181420.0,nan,nan,nan,nan,3229787.0,60.480000000000004,nan,nan,nan,43.888888888888886,nan,2.0,11.0
487,2017-10-01 14:37:52,80.0,42344.0,1886.0,nan,3181426.0,3229871.0,nan,0.0,nan,nan,nan,nan,nan,nan,22.22222222222222,nan,1.0,6.0
487,2017-10-01 14:37:53,82.0,42640.0,nan,nan,3181432.0,nan,nan,nan,nan,3229871.0,nan,90.36,nan,nan,22.77777777777778,nan,1.0,6.0
487,2017-10-01 14:37:55,83.0,43205.0,nan,nan,3181444.0,nan,nan,nan,nan,3229871.0,75.60000000000001,nan,nan,nan,46.111111111111114,nan,2.0,12.0
487,2017-10-01 14:37:57,nan,43481.0,1931.0,nan,3181457.0,3229979.0,nan,0.0,83.0,nan,nan,nan,nan,nan,46.111111111111114,nan,2.0,13.0
487,2017-10-01 14:37:59,82.0,42985.0,nan,nan,3181463.0,nan,nan,nan,nan,3229979.0,97.2,nan,nan,nan,45.55555555555556,nan,2.0,6.0
487,2017-10-01 14:38:01,78.0,41187.0,nan,0.0,3181475.0,nan,nan,nan,nan,3229979.0,nan,69.12,nan,nan,43.333333333333336,nan,2.0,12.0
487,2017-10-01 14:38:02,76.0,40533.0,1784.0,nan,3181482.0,3230066.0,nan,0.0,nan,nan,nan,nan,nan,nan,21.11111111111111,nan,1.0,7.0
487,2017-10-01 14:38:04,73.0,38663.0,nan,nan,3181488.0,nan,nan,nan,nan,3230066.0,62.64,78.0,nan,nan,40.55555555555556,nan,2.0,6.0
487,2017-10-01 14:38:05,nan,38419.0,nan,nan,nan,nan,nan,nan,73.0,3230066.0,78.3,70.2,nan,nan,20.27777777777778,nan,1.0,nan
487,2017-10-01 14:38:07,74.0,38647.0,1734.0,nan,nan,3230147.0,nan,0.0,nan,nan,nan,nan,nan,nan,41.111111111111114,nan,2.0,nan
487,2017-10-01 14:38:08,nan,38801.0,nan,nan,nan,nan,nan,nan,74.0,3230147.0,72.9,67.2,74.97931034482758,nan,20.555555555555557,nan,1.0,nan
487,2017-10-01 14:38:10,nan,38723.0,nan,nan,nan,3230242.0,nan,0.0,74.0,nan,nan,nan,nan,nan,41.111111111111114,nan,2.0,nan
487,2017-10-01 14:38:11,nan,38534.0,nan,nan,nan,nan,nan,nan,74.0,3230242.0,nan,94.68,nan,nan,20.555555555555557,nan,1.0,nan
487,2017-10-01 14:38:12,73.0,38765.0,1711.0,nan,nan,nan,nan,nan,nan,3230242.0,nan,nan,nan,nan,20.27777777777778,nan,1.0,nan
487,2017-10-01 14:38:14,72.0,37938.0,nan,nan,nan,3230319.0,nan,0.0,nan,nan,nan,nan,nan,nan,40.0,nan,2.0,nan
487,2017-10-01 14:38:15,73.0,37991.0,nan,nan,nan,nan,nan,nan,nan,3230319.0,nan,91.08000000000001,nan,nan,20.27777777777778,nan,1.0,nan
487,2017-10-01 14:38:17,75.0,38985.0,2201.0,nan,nan,nan,nan,nan,nan,3230319.0,55.44,nan,73.91999999999999,nan,41.666666666666664,nan,2.0,nan
487,2017-10-01 14:38:18,77.0,40081.0,nan,nan,nan,3230395.0,nan,0.0,nan,nan,nan,nan,nan,nan,21.38888888888889,nan,1.0,nan
487,2017-10-01 14:38:20,79.0,41414.0,nan,nan,nan,nan,nan,nan,nan,3230395.0,54.720000000000006,nan,75.47586206896551,nan,43.888888888888886,nan,2.0,nan
487,2017-10-01 14:38:22,81.0,42075.0,1978.0,nan,nan,3230478.0,nan,0.0,nan,nan,nan,nan,nan,nan,45.0,nan,2.0,nan
487,2017-10-01 14:38:24,80.0,42665.0,nan,nan,3181500.0,nan,nan,nan,nan,3230478.0,74.7,nan,75.35172413793103,nan,44.44444444444444,nan,2.0,12.0
