asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE
2371,2017-10-19T13:31:39Z,31,16912,1249,21,3117469,11250985,%40241%
2371,2017-10-19T13:31:40Z,30,17115,%1249%,%21%,3117470,11251027,%40241%
2371,2017-10-19T13:31:41Z,29,%17115%,%1249%,%21%,%3117470%,%11251027%,%40241%
2371,2017-10-19T13:31:43Z,28,15878,1154,%21%,%3117470%,%11251027%,%40241%
2371,2017-10-19T13:31:45Z,%28%,15868,%1154%,%21%,3117471,11251060,%40241%
2371,2017-10-19T13:31:46Z,27,16090,%1154%,%21%,%3117471%,%11251060%,%40241%
2371,2017-10-19T13:31:47Z,%27%,%16090%,%1154%,%21%,%3117471%,11251083,%40241%
2371,2017-10-19T13:31:49Z,%27%,15175,1152,%21%,3117472,%11251083%,%40241%
2371,2017-10-19T13:31:50Z,28,14691,%1152%,%21%,%3117472%,%11251083%,%40241%
2371,2017-10-19T13:31:51Z,%28%,14535,%1152%,%21%,3117473,%11251083%,%40241%
2371,2017-10-19T13:31:58Z,21,13823,1267,%21%,3117476,11251151,%40241%
2371,2017-10-19T13:32:03Z,7,%13823%,1275,%21%,3117478,11251164,%40241%
2371,2017-10-19T13:32:07Z,18,%13823%,%1275%,22,3117479,%11251164%,%40241%
2371,2017-10-19T13:32:08Z,20,%13823%,1603,%22%,%3117479%,%11251164%,%40241%
2371,2017-10-19T13:32:09Z,23,%13823%,%1603%,%22%,%3117479%,%11251164%,%40241%
2371,2017-10-19T13:32:10Z,25,13652,%1603%,%22%,3117480,%11251164%,40242
2371,2017-10-19T13:32:10Z,%25%,%13652%,%1603%,%22%,%3117480%,%11251164%,%40242%
2371,2017-10-19T13:32:10Z,%25%,%13652%,%1603%,%22%,%3117480%,%11251164%,%40242%
2371,2017-10-19T13:32:11Z,%25%,%13652%,%1603%,%22%,%3117480%,%11251164%,%40242%
2371,2017-10-19T13:32:12Z,%25%,14701,%1603%,%22%,%3117480%,%11251164%,%40242%
2371,2017-10-19T13:32:12Z,%25%,%14701%,%1603%,%22%,%3117480%,%11251164%,%40242%
2371,2017-10-19T13:32:14Z,%25%,%14701%,1419,%22%,3117481,%11251164%,%40242%
2371,2017-10-19T13:32:15Z,24,%14701%,%1419%,%22%,%3117481%,%11251164%,%40242%
2371,2017-10-19T13:32:16Z,22,%14701%,%1419%,%22%,%3117481%,%11251164%,%40242%
2371,2017-10-19T13:32:19Z,13,%14701%,1146,%22%,3117482,%11251164%,%40242%
2371,2017-10-19T13:32:20Z,8,4853,%1146%,%22%,3117483,%11251164%,%40242%
2371,2017-10-19T13:32:21Z,%8%,%4853%,%1146%,%22%,%3117483%,%11251164%,%40242%
2371,2017-10-19T13:32:22Z,12,9007,%1146%,%22%,%3117483%,11251225,%40242%
2371,2017-10-19T13:32:25Z,23,10074,1796,%22%,3117484,%11251225%,%40242%
2371,2017-10-19T13:32:26Z,%23%,%10074%,%1796%,%22%,%3117484%,%11251225%,%40242%
2371,2017-10-19T13:32:27Z,24,9419,%1796%,%22%,3117485,11251268,%40242%
2371,2017-10-19T13:32:29Z,12,11275,1092,%22%,%3117485%,%11251268%,%40242%
2371,2017-10-19T13:32:31Z,14,11952,%1092%,%22%,3117486,11251322,%40242%
2371,2017-10-19T13:32:35Z,16,6597,1453,%22%,3117489,11251365,%40242%
2371,2017-10-19T13:32:40Z,%16%,%6597%,1318,20,3117494,11251384,%40242%
2371,2017-10-19T13:32:40Z,14,7748,%1318%,%20%,%3117494%,%11251384%,%40242%
2371,2017-10-19T13:32:41Z,12,6597,%1318%,%20%,%3117494%,11251401,%40242%
2371,2017-10-19T13:32:42Z,11,%6597%,%1318%,%20%,3117495,%11251401%,%40242%
2371,2017-10-19T13:32:43Z,%11%,11966,895,%20%,%3117495%,%11251401%,%40242%
2371,2017-10-19T13:32:46Z,1,%11966%,%895%,%20%,3117496,11251448,%40242%
2371,2017-10-19T13:32:50Z,5,2060,980,%20%,3117497,11251478,%40242%
2371,2017-10-19T13:33:35Z,0,0,0,0,3117500,%11251478%,%40242%
2371,2017-10-19T13:33:36Z,%0%,%0%,%0%,%0%,%3117500%,%11251478%,%40242%
2371,2017-10-19T13:33:36Z,%0%,%0%,%0%,%0%,%3117500%,%11251478%,%40242%
2371,2017-10-19T13:33:36Z,%0%,%0%,%0%,%0%,%3117500%,%11251478%,%40242%
2371,2017-10-19T13:33:36Z,%0%,%0%,%0%,%0%,%3117500%,%11251478%,%40242%
2371,2017-10-19T13:33:36Z,%0%,%0%,%0%,%0%,%3117500%,%11251478%,%40242%
2371,2017-10-19T13:33:36Z,%0%,%0%,%0%,%0%,%3117500%,%11251478%,%40242%
2371,2017-10-19T13:34:22Z,%0%,%0%,%0%,%0%,%3117500%,%11251478%,%40242%
2371,2017-10-19T13:36:22Z,%0%,%0%,%0%,%0%,%3117500%,%11251478%,%40242%
2371,2017-10-19T13:38:22Z,%0%,%0%,%0%,%0%,%3117500%,%11251478%,%40242%
2371,2017-10-19T13:40:22Z,%0%,%0%,%0%,%0%,%3117500%,%11251478%,%40242%
2371,2017-10-19T13:42:23Z,%0%,%0%,%0%,%0%,%3117500%,%11251478%,%40242%
2371,2017-10-19T13:43:37Z,%0%,%0%,%0%,%0%,%3117500%,%11251478%,%40242%
2371,2017-10-19T13:56:38Z, , , , ,%3117500%, , 
2371,2017-10-19T13:56:38Z, , , , ,%3117500%, , 
2371,2017-10-19T13:56:41Z, , ,717, ,%3117500%, , 
2371,2017-10-19T13:56:42Z, , ,%717%, ,%3117500%, , 
2371,2017-10-19T13:56:42Z, , ,%717%, ,%3117500%, , 
2371,2017-10-19T13:56:42Z, , ,%717%, ,%3117500%, , 
2371,2017-10-19T13:56:43Z, , ,%717%, ,%3117500%, , 
2371,2017-10-19T13:56:46Z, , ,711, ,%3117500%, , 
2371,2017-10-19T13:56:46Z, , ,%711%, ,%3117500%, , 
2371,2017-10-19T13:56:46Z, , ,%711%, ,%3117500%, , 
